No.,Alloys,¦¤Hsss£¬MPa,E,K,G,¦Í,Rm,Ri,Rc,Vm,Hs,Hc,VEC,e/a,Ew,Xp,Xa,Xm,Xr,Ec,¦ÄE,¦ÄK,¦ÄG,¦Ä¦Í,¦ÄRm,¦ÄRi,¦ÄRc,¦ÄVm,¦ÄHs,¦ÄHc,¦ÄVEC,¦Äe/a,¦ÄEw,¦ÄXp,¦ÄXa,¦ÄXm,¦ÄXr,¦ÄEc,¦¤E,¦¤K,¦¤G,¦¤¦Í,¦¤Rm,¦¤Ri,¦¤Rc,¦¤Vm,¦¤Hs,¦¤Hc,¦¤VEC,¦¤e/a,¦¤ew,¦¤Xp,¦¤Xa,¦¤Xm,¦¤Xr,¦¤Ec
96,AlCoCrFeNiMo0.1,5248,196.451,152.9647,77.07059,0.294314,131.451,58.72549,118.2157,7.552549,3.704902,5.219216,7.176471,1.980392,4.684314,1.741176,1.75098,1.761569,1.617647,4.172941,0.355987,0.270389,0.37788,0.155959,0.055194,0.084038,0.033053,0.169393,0.069035,0.121598,0.34322,0.32387,0.070019,0.092521,0.064029,0.073255,0.067058,0.12773,0.081175,0.050262,0.085387,0.01605,0.001483,0.004324,0.000645,0.020233,0.00177,0.009449,0.065882,0.051956,0.001932,0.00374,0.001064,0.003592,0.001596,0.00783
97,AlCoCrFeNiV0.2,4774,191.2692,151.0769,74.96923,0.296923,131.4077,58.65385,118.1538,7.546923,3.694231,5.176154,7.115385,2,4.671154,1.734615,1.747885,1.775769,1.617308,4.165769,0.355066,0.252039,0.381414,0.160643,0.054133,0.076822,0.030847,0.165692,0.071157,0.111945,0.347168,0.310087,0.071286,0.093153,0.064419,0.086513,0.063902,0.105613,0.076904,0.048428,0.081345,0.016376,0.001526,0.00418,0.000645,0.019979,0.00174,0.008767,0.061359,0,0.001778,0.003286,0.000974,0.003051,0.001558,0.006621
98,AlCoCrFeNiV0.8,5438,184.7241,151.7931,72.04483,0.304483,131.7379,59.31034,118.5517,7.626897,3.653448,5.155862,6.896552,2,4.632759,1.72069,1.725345,1.821724,1.6,4.284138,0.363403,0.237926,0.394348,0.165361,0.051658,0.078971,0.030741,0.158282,0.07564,0.107043,0.351781,0.29361,0.072298,0.092054,0.072784,0.109046,0.068955,0.126772,0.065323,0.043668,0.069295,0.016545,0.00124,0.004244,0.000506,0.016225,0.001911,0.007643,0.052125,0,0.002008,0.00247,0.001445,0.006395,0.001408,0.007909
99,AlCoCrFeNiV,5676,182.8333,152,71.2,0.306667,131.8333,59.5,118.6667,7.65,3.641667,5.15,6.833333,2,4.621667,1.716667,1.718833,1.835,1.595,4.318333,0.36526,0.233724,0.39749,0.165917,0.050902,0.079277,0.030642,0.156002,0.076616,0.105541,0.352606,0.288675,0.072416,0.091592,0.074672,0.113344,0.070073,0.130801,0.062007,0.042289,0.065818,0.016541,0.001166,0.004237,0.000469,0.015225,0.001948,0.007327,0.04997,0,0.002063,0.002262,0.001744,0.007058,0.001494,0.008776
100,Al0.5NbTiZrHf,2197,89.33333,114.4667,41.6,0.356667,151.7333,73.33333,137.2222,11.98444,3.188889,6.481111,4.111111,1.888889,4.16,1.455556,1.350333,1.808889,1.274444,5.956667,0.219294,0.278202,0.22729,0.080396,0.044191,0.129046,0.050813,0.132643,0.046617,0.261152,0.137811,0.299942,0.041697,0.073219,0.096294,0.07546,0.062017,0.215878,0.016225,0.052364,0.024573,0.003241,0.000457,0.010693,0.000759,0.004349,0.001025,0.037961,0.010226,0.048443,0.000776,0.002434,0.004308,0.003143,0.002346,0.020091
101,Al0.25NbTiVTa,3514,130,153.3647,48.36471,0.357059,143.5529,70.47059,130.1765,10.15059,3.276471,6.364118,4.647059,1.823529,4.294118,1.547059,1.426647,1.990588,1.340588,6.277059,0.260151,0.238811,0.262569,0.082504,0.035058,0.103492,0.038385,0.101901,0.025705,0.302502,0.126582,0.281219,0.006541,0.032263,0.058224,0.078783,0.061537,0.244984,0.043606,0.020011,0.043388,0.00338,0.000915,0.004674,0.000882,0.00764,0.000338,0.057572,0.006032,0.045786,2.44E-05,0.000221,0.001203,0.003033,0.001586,0.01426
102,Al0.5NbTiVTa,2490,126.6667,149.0222,47.13333,0.356667,143.5333,69.33333,129.8889,10.14222,3.288889,6.236667,4.555556,1.888889,4.293333,1.544444,1.437,1.971111,1.347778,6.116667,0.281247,0.267362,0.283129,0.080396,0.034079,0.122573,0.038485,0.09917,0.029355,0.311595,0.150352,0.299942,0.006402,0.032174,0.063546,0.087397,0.06342,0.267178,0.048735,0.02646,0.04869,0.003241,0.00086,0.008557,0.000761,0.007152,0.000455,0.06074,0.01084,0.048443,2.21E-05,0.000196,0.001588,0.003488,0.001658,0.019499
103,AlNbTiVTa,2483,121,141.64,45.04,0.356,143.5,67.4,129.4,10.128,3.31,6.02,4.4,2,4.292,1.54,1.4546,1.938,1.36,5.844,0.312655,0.309295,0.313766,0.076619,0.032345,0.147356,0.038361,0.094307,0.033642,0.324721,0.181818,0.316228,0.006147,0.031812,0.069746,0.098683,0.065437,0.299955,0.057373,0.041338,0.057517,0.002998,0.000768,0.013313,0.000573,0.006342,0.000657,0.065439,0.018595,0,1.85E-05,0.000169,0.002184,0.004729,0.00173,0.033596
104,MoNbTiZrHf,3579,139.2,147.74,59.94,0.348,150.24,76,136.8,11.662,3.21,6.822,4.6,1.6,4.236,1.52,1.348,1.852,1.26,6.386,0.69314,0.425808,0.561213,0.095132,0.050903,0.058252,0.047464,0.151781,0.047654,0.203668,0.173913,0.306186,0.057139,0.113188,0.078425,0.067215,0.032915,0.139551,0.366274,0.113292,0.239129,0.00436,0.000824,0.002181,0.000635,0.007159,0.001048,0.023427,0.017013,0.015625,0.001431,0.006752,0.003804,0.001844,0.00034,0.011556
105,MoNb0.5TiZrHf,2944,143,145.2333,62.43333,0.342222,150.6222,75.88889,137.1111,11.75444,3.2,6.835556,4.555556,1.666667,4.228889,1.511111,1.341111,1.832222,1.263333,6.254444,0.706236,0.453313,0.553727,0.086877,0.052915,0.061319,0.0494,0.156772,0.049411,0.214167,0.18252,0.282843,0.060096,0.118563,0.081488,0.062958,0.033583,0.134662,0.368114,0.138374,0.225114,0.003158,0.001034,0.002378,0.00072,0.008381,0.001302,0.025653,0.021284,0.026667,0.00168,0.00811,0.003998,0.001244,0.00037,0.011205
106,MoNb1.5TiZrHf,2900,136.0909,149.7909,57.9,0.352727,149.9273,76.09091,136.5455,11.58636,3.218182,6.810909,4.636364,1.545455,4.241818,1.527273,1.353636,1.868182,1.257273,6.493636,0.67983,0.402767,0.565043,0.099017,0.04908,0.055604,0.045721,0.147118,0.046029,0.194574,0.166378,0.32219,0.054578,0.108458,0.075619,0.069185,0.032191,0.140959,0.361367,0.095466,0.248379,0.004662,0.000741,0.002018,0.000602,0.006859,0.000862,0.021556,0.014051,0.018245,0.001245,0.00574,0.003652,0.002043,0.000367,0.011636
107,MoNbTi0.5ZrHf,3033,141.7778,152.1111,61.53333,0.351111,150.6889,76.88889,137.3333,11.77556,3.216667,7.044444,4.666667,1.555556,4.225556,1.522222,1.344444,1.851111,1.253333,6.556667,0.715041,0.426366,0.570405,0.095358,0.052661,0.048448,0.0483,0.155486,0.049698,0.182356,0.174964,0.319438,0.059871,0.119047,0.082463,0.070869,0.030556,0.117265,0.38384,0.111117,0.2391,0.004086,0.00102,0.001485,0.000687,0.008164,0.001122,0.020023,0.017007,0.019274,0.001677,0.007376,0.004109,0.002073,0.000237,0.007458
108,MoNbTi1.5ZrHf,2785,137.0909,144.1636,58.63636,0.345455,149.8727,75.27273,136.3636,11.56909,3.204545,6.64,4.545455,1.636364,4.244545,1.518182,1.350909,1.852727,1.265455,6.246364,0.672811,0.423394,0.551492,0.094297,0.049266,0.063861,0.046514,0.148073,0.045831,0.217527,0.172047,0.293972,0.054742,0.108117,0.074924,0.064074,0.034091,0.153303,0.349841,0.113854,0.23676,0.004488,0.000787,0.002544,0.000675,0.007418,0.001014,0.026173,0.0168,0.018519,0.001244,0.006226,0.003536,0.00166,0.000371,0.013629
109,MoNbTiZr0.5Hf,3045,147.1111,154.1778,62.71111,0.348889,149.1333,75.55556,135.8889,11.4,3.233333,6.863333,4.666667,1.555556,4.256667,1.533333,1.351111,1.868889,1.264444,6.401111,0.670101,0.409329,0.547891,0.099697,0.048695,0.058897,0.045687,0.146647,0.044342,0.21254,0.174964,0.319438,0.057938,0.115033,0.082155,0.064132,0.032738,0.146562,0.329772,0.104646,0.220939,0.004697,0.000779,0.00221,0.000749,0.00656,0.000903,0.024819,0.017007,0.019274,0.001537,0.006616,0.004387,0.001646,0.000292,0.01304
110,MoNbTiZr1.5Hf,2899,132.7273,142.4727,57.67273,0.347273,151.1455,76.36364,137.5455,11.87636,3.190909,6.788182,4.545455,1.636364,4.219091,1.509091,1.345455,1.838182,1.256364,6.373636,0.710061,0.436933,0.569858,0.091136,0.051829,0.057291,0.048162,0.15314,0.049469,0.195792,0.172047,0.293972,0.056147,0.111079,0.075155,0.068806,0.032778,0.133455,0.394704,0.119327,0.25207,0.004072,0.000838,0.002168,0.00068,0.007474,0.001169,0.022166,0.0168,0.018519,0.001415,0.00675,0.003357,0.001954,0.000386,0.010371
