No.,Alloys,¦¤Hsss£¬MPa,E,K,G,¦Í,Rm,Ri,Rc,Vm,Hs,Hc,VEC,e/a,Ew,Xp,Xa,Xm,Xr,Ec,¦ÄE,¦ÄK,¦ÄG,¦Ä¦Í,¦ÄRm,¦ÄRi,¦ÄRc,¦ÄVm,¦ÄHs,¦ÄHc,¦ÄVEC,¦Äe/a,¦ÄEw,¦ÄXp,¦ÄXa,¦ÄXm,¦ÄXr,¦ÄEc,¦¤E,¦¤K,¦¤G,¦¤¦Í,¦¤Rm,¦¤Ri,¦¤Rc,¦¤Vm,¦¤Hs,¦¤Hc,¦¤VEC,¦¤e/a,¦¤ew,¦¤Xp,¦¤Xa,¦¤Xm,¦¤Xr,¦¤Ec
143,Mo1.3NbTiV0.3Zr,4135,164.1522,164.2304,64.21522,0.342174,146.8652,74.34783,133.7609,10.9087,3.244565,6.203913,4.847826,1.5,4.336957,1.591304,1.408696,1.908261,1.281522,6.332391,0.640074,0.41072,0.603314,0.100301,0.053563,0.06458,0.049349,0.164468,0.051335,0.13968,0.171872,0.333333,0.04486,0.093417,0.044396,0.073701,0.047269,0.153719,0.281846,0.098432,0.253393,0.0062,0.001792,0.001563,0.001534,0.017673,0.001216,0.010475,0.015899,0.024155,0.001039,0.004859,0.000862,0.002511,0.001068,0.011877
144,Mo1.5NbTiV0.3Zr,4030,171.0208,168.2708,66.77292,0.340833,146.5792,74.375,133.5625,10.845,3.253125,6.23625,4.895833,1.479167,4.347917,1.6,1.41125,1.909583,1.282292,6.352708,0.631522,0.408965,0.596956,0.100364,0.053365,0.063221,0.048903,0.164382,0.051686,0.138284,0.173114,0.337735,0.045442,0.094614,0.044243,0.072175,0.046335,0.150783,0.262701,0.095279,0.236903,0.006277,0.001798,0.001509,0.001526,0.017856,0.001248,0.0105,0.015867,0.025045,0.001047,0.004069,0.000871,0.00243,0.001009,0.011603
145,NbTiVZr,2696,104.25,131.625,41.2,0.3575,146.95,72.5,133.25,10.9525,3.1875,5.7375,4.5,1.75,4.245,1.525,1.41,1.9525,1.305,5.995,0.215387,0.254259,0.12241,0.084786,0.061685,0.085306,0.061285,0.18517,0.039019,0.147111,0.111111,0.247436,0.026678,0.054371,0.054245,0.099139,0.070752,0.173468,0.030215,0.017459,0.003645,0.003228,0.002032,0.001712,0.001936,0.019579,0.00083,0.00318,0,0.040816,0.000486,0.001612,0.001698,0.004299,0.003053,0.016803
146,MoNbVTa,3856,187,196.45,69.75,0.355,142.025,73.5,129.75,9.845,3.3375,7.0475,5.25,1.5,4.3625,1.625,1.4375,2.0325,1.3275,6.95,0.465962,0.202894,0.490968,0.094482,0.035883,0.067686,0.037904,0.108,0.019461,0.23058,0.082479,0.333333,0.031778,0.06706,0.049036,0.056245,0.05988,0.151137,0.144149,0.027159,0.160271,0.003571,0.000632,0.003239,0.000884,0.005441,0.000252,0.030998,0.004535,0,0.00069,0.00284,0.001059,0.002127,0.002128,0.013833
147,NbVTaW,3264,207.5,208.9,78.5,0.3475,142.225,73.5,130,9.8675,3.5625,7.765,5.25,1.75,4.35,1.6,1.4375,1.995,1.3525,7.47,0.583814,0.289839,0.62144,0.127685,0.035353,0.067686,0.037684,0.106825,0.127625,0.260391,0.082479,0.247436,0.026956,0.044194,0.049036,0.078017,0.061054,0.178571,0.23777,0.05881,0.269947,0.009316,0.000693,0.003239,0.00071,0.005743,0.010859,0.027457,0.004535,0.040816,0.000495,0,0.001059,0.003103,0.001982,0.020858
148,NbTiVTaW,2931,189.2,188.8,71.92,0.342,143.02,72.4,130.4,10.022,3.48,7.176,5,1.8,4.346,1.58,1.426,1.968,1.346,6.946,0.604476,0.35723,0.63368,0.120417,0.033352,0.068562,0.034158,0.098998,0.12611,0.300767,0.126491,0.222222,0.024203,0.047363,0.047063,0.075873,0.055716,0.228623,0.274802,0.08347,0.30379,0.006566,0.000645,0.001831,0.000828,0.005161,0.011965,0.026891,0,0.037037,0.000438,0.001122,0.001039,0.003239,0.001457,0.016597
149,Cr0.5MoNbVTaW,5120,236.0909,213.9636,90.40909,0.328182,141.2545,72.72727,128.7273,9.539091,3.522727,7.382727,5.454545,1.545455,4.409091,1.636364,1.462727,1.985455,1.361818,7.045455,0.483018,0.270721,0.508725,0.167813,0.033106,0.075104,0.041911,0.122964,0.11182,0.255941,0.091287,0.32219,0.032009,0.059835,0.058309,0.067722,0.070767,0.211627,0.096791,0.036157,0.1027,0.011553,0.000402,0.001875,0.00063,0.005317,0.00995,0.019766,0.000909,0.011324,0.000302,0.001773,0.001486,0.002532,0.001826,0.015703
150,CrMoNbVTaW,5443,239.6667,209.4667,92.48333,0.318333,140.8167,71.83333,127.8333,9.346667,3.508333,7.195,5.5,1.5,4.416667,1.633333,1.478333,1.986667,1.378333,6.8,0.458235,0.274168,0.481918,0.194846,0.033426,0.083688,0.046591,0.138199,0.108356,0.265913,0.090909,0.333333,0.031118,0.057723,0.065399,0.064831,0.07785,0.241668,0.080687,0.038501,0.080268,0.019188,0.000325,0.002799,0.000972,0.008545,0.009546,0.022545,0,0,0.000228,0.001666,0.002242,0.002292,0.002854,0.026275
151,HfNbTaTiVZr,4398,113.5,138.6333,48.33333,0.356667,148.75,74.5,135.1667,11.35,3.2,6.94,4.5,1.833333,4.188333,1.483333,1.356667,1.913333,1.296667,6.42,0.338864,0.277503,0.238825,0.073589,0.057004,0.078555,0.057373,0.167565,0.034939,0.264846,0.111111,0.203279,0.037887,0.071945,0.081711,0.093087,0.062916,0.178406,0.067923,0.025585,0.030874,0.002227,0.00148,0.002522,0.001569,0.011555,0.00061,0.023014,0,0.033058,0.000754,0.002525,0.003477,0.004249,0.002277,0.011411
152,Al0.5CrNbTi2V0.5,3158,143,132.74,56.09,0.322,142.82,66.5,127.9,9.7,3.27,5.199,4.6,1.7,4.35,1.55,1.4783,1.936,1.378,5.144,0.486253,0.245579,0.538543,0.197297,0.034167,0.110963,0.048254,0.146828,0.034327,0.154028,0.199242,0.376654,0.017658,0.032258,0.07646,0.076132,0.084989,0.256438,0.179799,0.015169,0.220066,0.024181,0.000455,0.006105,0.001147,0.012873,0.00053,0.016635,0.017769,0.055363,0.000229,0.000312,0.002576,0.002119,0.003216,0.04438
153,AlNbTiTa,3660,119.25,137.55,44.625,0.3525,145.725,68,131.25,10.58,3.3125,6.28,4.25,2,4.29,1.525,1.43575,1.8675,1.3375,5.9775,0.353167,0.349822,0.353453,0.083616,0.010125,0.162099,0.028188,0.032585,0.037547,0.335479,0.195096,0.353553,0.006796,0.028394,0.073345,0.077355,0.064181,0.324044,0.078144,0.04014,0.075698,0.004527,7.24E-05,0.013138,0.000559,0.000743,0.000797,0.065837,0.020761,0,2.04E-05,0.000537,0.00373,0.003706,0.002446,0.03795
